cell_line,phenotype,timepoint,date,concentration,pct_viability
IMR5,ADR,24hr,20241114,1,92.80%
IMR5,ADR,24hr,20241114,5,84.80%
IMR5,ADR,24hr,20241114,10,92.80%
IMR5,ADR,24hr,20241121,1,83.33%
IMR5,ADR,24hr,20241121,5,79.55%
IMR5,ADR,24hr,20241121,10,81.82%
IMR5,ADR,24hr,20241205,1,105.13%
IMR5,ADR,24hr,20241205,5,82.91%
IMR5,ADR,24hr,20241205,10,92.31%
IMR5,ADR,24hr,20241210,1,118.04%
IMR5,ADR,24hr,20241210,5,149.48%
IMR5,ADR,24hr,20241210,10,105.67%
SY5Y,ADR,24hr,20241114,1,97.79%
SY5Y,ADR,24hr,20241114,5,91.16%
SY5Y,ADR,24hr,20241114,10,95.03%
SY5Y,ADR,24hr,20241121,1,73.29%
SY5Y,ADR,24hr,20241121,5,2.67%
SY5Y,ADR,24hr,20241121,10,99.11%
SY5Y,ADR,24hr,20241205,1,109.42%
SY5Y,ADR,24hr,20241205,5,172.46%
SY5Y,ADR,24hr,20241205,10,223.91%
SY5Y,ADR,24hr,20241210,1,116.46%
SY5Y,ADR,24hr,20241210,5,141.77%
SY5Y,ADR,24hr,20241210,10,122.15%
SKNAS,MES,24hr,20241114,1,99.06%
SKNAS,MES,24hr,20241114,5,93.40%
SKNAS,MES,24hr,20241114,10,100.94%
SKNAS,MES,24hr,20241121,1,93.15%
SKNAS,MES,24hr,20241121,5,26.21%
SKNAS,MES,24hr,20241121,10,98.79%
SKNAS,MES,24hr,20241205,1,98.85%
SKNAS,MES,24hr,20241205,5,130.46%
SKNAS,MES,24hr,20241205,10,101.15%
SKNAS,MES,24hr,20241210,1,110.33%
SKNAS,MES,24hr,20241210,5,123.91%
SKNAS,MES,24hr,20241210,10,108.15%
SHEP,MES,24hr,20241114,1,101.41%
SHEP,MES,24hr,20241114,5,103.75%
SHEP,MES,24hr,20241114,10,101.41%
SHEP,MES,24hr,20241121,1,78.19%
SHEP,MES,24hr,20241121,5,36.50%
SHEP,MES,24hr,20241121,10,105.79%
SHEP,MES,24hr,20241205,1,110.00%
SHEP,MES,24hr,20241205,5,177.81%
SHEP,MES,24hr,20241205,10,110.63%
SHEP,MES,24hr,20241210,1,110.72%
SHEP,MES,24hr,20241210,5,125.87%
SHEP,MES,24hr,20241210,10,113.99%
IMR5,ADR,48hr,20241114,1,93.78%
IMR5,ADR,48hr,20241114,5,90.91%
IMR5,ADR,48hr,20241114,10,91.39%
IMR5,ADR,48hr,20241121,1,78.28%
