cell_line,timepoint,date,concentration,pct_viability
IMR5,24hr,20241114,1 microM,0.9279999999999999
IMR5,24hr,20241114,5 microM,0.848
IMR5,24hr,20241114,10 microM,0.9279999999999999
IMR5,24hr,20241121,1 microM,0.8332999999999999
IMR5,24hr,20241121,5 microM,0.7955
IMR5,24hr,20241121,10 microM,0.8181999999999999
IMR5,24hr,20241205,1 microM,1.0513
IMR5,24hr,20241205,5 microM,0.8291
IMR5,24hr,20241205,10 microM,0.9231
IMR5,24hr,20241210,1 microM,1.1804000000000001
IMR5,24hr,20241210,5 microM,1.4948
IMR5,24hr,20241210,10 microM,1.0567
SY5Y,24hr,20241114,1 microM,0.9779000000000001
SY5Y,24hr,20241114,5 microM,0.9116
SY5Y,24hr,20241114,10 microM,0.9503
SY5Y,24hr,20241121,1 microM,0.7329000000000001
SY5Y,24hr,20241121,5 microM,0.026699999999999998
SY5Y,24hr,20241121,10 microM,0.9911
SY5Y,24hr,20241205,1 microM,1.0942
SY5Y,24hr,20241205,5 microM,1.7246000000000001
SY5Y,24hr,20241205,10 microM,2.2391
SY5Y,24hr,20241210,1 microM,1.1645999999999999
SY5Y,24hr,20241210,5 microM,1.4177000000000002
SY5Y,24hr,20241210,10 microM,1.2215
SKNAS,24hr,20241114,1 microM,0.9906
SKNAS,24hr,20241114,5 microM,0.934
SKNAS,24hr,20241114,10 microM,1.0094
SKNAS,24hr,20241121,1 microM,0.9315000000000001
SKNAS,24hr,20241121,5 microM,0.2621
SKNAS,24hr,20241121,10 microM,0.9879000000000001
SKNAS,24hr,20241205,1 microM,0.9884999999999999
SKNAS,24hr,20241205,5 microM,1.3046
SKNAS,24hr,20241205,10 microM,1.0115
SKNAS,24hr,20241210,1 microM,1.1033
SKNAS,24hr,20241210,5 microM,1.2390999999999999
SKNAS,24hr,20241210,10 microM,1.0815000000000001
SHEP,24hr,20241114,1 microM,1.0141
SHEP,24hr,20241114,5 microM,1.0375
SHEP,24hr,20241114,10 microM,1.0141
SHEP,24hr,20241121,1 microM,0.7818999999999999
SHEP,24hr,20241121,5 microM,0.365
SHEP,24hr,20241121,10 microM,1.0579
