id,description,genome_fraction,observed_region_hits,fold_enrichment,p_value,p_adjust,mean_tss_dist,observed_gene_hits,gene_set_size,fold_enrichment_hyper,p_value_hyper,p_adjust_hyper
GO:2000623,"negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.0013101978678009478,506,13.909140984006978,0,0,459969,4,9,1.6319675977377688,0.2097962690891897,0.5135129609683073
GO:2000622,"regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.00139602102785037,506,13.054048969627697,0,0,459969,4,13,1.129823721510763,0.49033512107592014,0.7902708207712346
GO:0014050,negative regulation of glutamate secretion,0.0011288276173841213,391,12.474863777901806,0,0,520852,2,5,1.468770837963992,0.41422824546459847,0.7255607723213372
GO:2000371,regulation of DNA topoisomerase (ATP-hydrolyzing) activity,5.118440289296843e-4,152,10.695291539492784,0,0,236147,2,5,1.468770837963992,0.41422824546459847,0.7255607723213372
GO:2000373,positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity,5.118440289296843e-4,152,10.695291539492784,0,0,236147,2,5,1.468770837963992,0.41422824546459847,0.7255607723213372
GO:0006056,mannoprotein metabolic process,7.526515062290445e-4,220,10.527261872001976,0,0,541820,2,5,1.468770837963992,0.41422824546459847,0.7255607723213372
GO:0006058,mannoprotein catabolic process,7.526515062290445e-4,220,10.527261872001976,0,0,541820,2,5,1.468770837963992,0.41422824546459847,0.7255607723213372
GO:1905691,lipid droplet disassembly,7.807478330071645e-4,226,10.42519848685033,0,0,484947,1,7,0.5245610135585685,0.8920289819224377,0.9762847523119922
GO:0006957,"complement activation, alternative pathway",0.001434344753221242,404,10.144122770411059,0,0,456467,5,11,1.6690577704136274,0.15358559766977242,0.43985945306777063
GO:0051036,regulation of endosome size,4.714365043104597e-4,130,9.931316558857926,0,0,398843,1,10,0.367192709490998,0.9584220965518372,0.9988891002159018
GO:1904152,"regulation of retrograde protein transport, ER to cytosol",8.08964432762035e-4,223,9.92800794521017,0,0,535857,5,11,1.6690577704136274,0.15358559766977242,0.43985945306777063
GO:0010911,regulation of isomerase activity,5.665234806156442e-4,152,9.663008329685784,0,0,236147,2,7,1.049122027117137,0.6090218015381961,0.8578912654749562
GO:0010912,positive regulation of isomerase activity,5.665234806156442e-4,152,9.663008329685784,0,0,236147,2,7,1.049122027117137,0.6090218015381961,0.8578912654749562
GO:0042780,tRNA 3'-end processing,8.991663682789679e-4,226,9.052219271564978,0,0,466386,2,6,1.2239756983033265,0.5182167108946497,0.797179954225625
GO:0106354,tRNA surveillance,9.104342679729108e-4,225,8.90062703246622,0,0,471726,2,8,0.9179817737274949,0.6861105375261034,0.8935118840647555
GO:0090611,ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway,7.817156109131107e-4,191,8.799768822102656,0,0,616527,1,5,0.734385418981996,0.7960356057530156,0.9481702949501966
GO:0015074,DNA integration,6.375684482775902e-4,152,8.586248467816421,0,0,238244,2,6,1.2239756983033265,0.5182167108946497,0.797179954225625
GO:0070593,dendrite self-avoidance,0.00273077556075321,624,8.2297238554465455,0,0,495232,5,13,1.4122796518884537,0.26528687216548585,0.6009996763139168
GO:1904380,endoplasmic reticulum mannose trimming,9.863237192565297e-4,224,8.179282753546328,0,0,535431,2,9,0.8159837988688844,0.750217760871529,0.9345790936855798
GO:1903551,regulation of extracellular exosome assembly,8.693484597057327e-4,193,7.9955823513695785,0,0,610730,3,6,1.8359635474549898,0.2062513146044942,0.5135129609683073
GO:0035977,protein deglycosylation involved in glycoprotein catabolic process,0.0012679386987489592,253,7.186359592214347,0,0,513735,3,5,2.203156256945988,0.12842869369603316,0.4023284997224222
