id,description,genome_fraction,observed_region_hits,fold_enrichment,p_value,p_adjust,mean_tss_dist,observed_gene_hits,gene_set_size,fold_enrichment_hyper,p_value_hyper,p_adjust_hyper
GO:0071281,cellular response to iron ion,5.493454227850993e-4,115,11.279705433673824,0,0,384452,3,6,1.295889551302165,0.4263243225469229,0.6802409761814538
GO:1905098,negative regulation of guanyl-nucleotide exchange factor activity,4.089183312909327e-4,85,11.200251481644912,0,0,84482,3,5,1.555067461562598,0.2932414961827343,0.5600741066295498
GO:0002578,negative regulation of antigen processing and presentation,7.142089064044072e-4,121,9.128628574605347,0,0,351524,3,5,1.555067461562598,0.2932414961827343,0.5600741066295498
GO:0090402,oncogene-induced cell senescence,5.486391686774362e-4,86,8.446116544257844,0,0,145376,2,5,1.036711641041732,0.6381666181859631,0.8446599227453996
GO:0060816,random inactivation of X chromosome,0.0021021380802608396,319,8.176639899131374,0,0,365181,8,11,1.884930256439513,0.023190498993057918,0.1263586259049289
GO:0044571,[2Fe-2S] cluster assembly,3.819981623435941e-4,57,8.040054825377101,0,0,355488,2,8,0.6479447756510825,0.8780779435249227,0.9655797256368501
GO:0010757,negative regulation of plasminogen activation,9.564149066892388e-4,139,7.830939921075902,0,0,313455,5,7,1.8512707875745213,0.08314486152562117,0.26244023895606294
GO:2001033,negative regulation of double-strand break repair via nonhomologous end joining,6.085952475875796e-4,85,7.525507575137535,0,0,146649,1,7,0.37025415751490426,0.9670658271814144,0.9970093791698298
GO:0070172,positive regulation of tooth mineralization,6.953973737268317e-4,95,7.3609859256344,0,0,458109,3,6,1.295889551302165,0.4263243225469229,0.6802409761814538
GO:1903903,regulation of establishment of T cell polarity,3.7060859114991523e-4,50,7.269423155322089,0,0,96169,2,6,0.8639263675347767,0.7440877660054828,0.8919132021852387
GO:0035635,entry of bacterium into host cell,6.3498677484641e-4,84,7.1278743301803,0,0,143757,3,7,1.1107624725447127,0.5489347538002798,0.7876012188267448
GO:2000535,regulation of entry of bacterium into host cell,6.3498677484641e-4,84,7.1278743301803,0,0,143757,3,7,1.1107624725447127,0.5489347538002798,0.7876012188267448
GO:0009048,dosage compensation by inactivation of X chromosome,0.002423069736443826,320,7.115894377572021,0,0,364237,9,16,1.4578757452149356,0.11697862616851995,0.33923801588870783
