Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
IMR5_1_S29_R1_001	50.2388574366	47.0	101.0	209780575.0	27.2727272727
IMR5_1_S29_R2_001	49.5359897533	47.0	101.0	209780575.0	18.1818181818
IMR5_2_S30_R1_001	22.5918584344	49.0	101.0	90273666.0	18.1818181818
IMR5_2_S30_R2_001	22.1848151131	49.0	101.0	90273666.0	18.1818181818
SHEP1_S31_R1_001	47.9159417633	48.0	101.0	187394497.0	18.1818181818
SHEP1_S31_R2_001	47.1535701958	49.0	101.0	187394497.0	18.1818181818
SHEP2_S32_R1_001	45.9521688082	48.0	101.0	161673971.0	18.1818181818
SHEP2_S32_R2_001	45.141630367	48.0	101.0	161673971.0	18.1818181818
SKNAS1_S33_R1_001	43.6891025267	48.0	101.0	188200803.0	18.1818181818
SKNAS1_S33_R2_001	43.2403390019	48.0	101.0	188200803.0	18.1818181818
SKNAS2_S34_R1_001	37.3734555983	49.0	101.0	172539565.0	18.1818181818
SKNAS2_S34_R2_001	37.4218851173	48.0	101.0	172539565.0	18.1818181818
SY5Y_1_S35_R1_001	51.4378547166	47.0	101.0	331040711.0	27.2727272727
SY5Y_1_S35_R2_001	51.5991263449	47.0	101.0	331040711.0	27.2727272727
SY5Y_2_S36_R1_001	53.7972456534	47.0	101.0	253380315.0	27.2727272727
SY5Y_2_S36_R2_001	53.0967961233	48.0	101.0	253380315.0	27.2727272727
