Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
IMR5_1_S29_R1_001_val_1	47.1239043745	46.0	84.4074110619	209655947.0	9.09090909091
IMR5_1_S29_R2_001_val_2	46.4515844622	47.0	84.3713837128	209655947.0	9.09090909091
IMR5_2_S30_R1_001_val_1	19.6152171059	49.0	84.8917536664	90234271.0	9.09090909091
IMR5_2_S30_R2_001_val_2	19.2646161038	49.0	84.8732262269	90234271.0	9.09090909091
SHEP1_S31_R1_001_val_1	43.211581634	48.0	83.9264628284	187301982.0	9.09090909091
SHEP1_S31_R2_001_val_2	42.4820568333	48.0	83.8942165599	187301982.0	9.09090909091
SHEP2_S32_R1_001_val_1	40.9577327963	48.0	82.9055561616	161592617.0	9.09090909091
SHEP2_S32_R2_001_val_2	40.2473928622	48.0	82.8666899058	161592617.0	9.09090909091
SKNAS1_S33_R1_001_val_1	38.6277738666	48.0	83.6420704931	188126552.0	9.09090909091
SKNAS1_S33_R2_001_val_2	38.2416985227	48.0	83.6208052439	188126552.0	9.09090909091
SKNAS2_S34_R1_001_val_1	32.3842451747	48.0	82.1237577379	172477490.0	9.09090909091
SKNAS2_S34_R2_001_val_2	32.448588226	48.0	82.0991718629	172477490.0	9.09090909091
SY5Y_1_S35_R1_001_val_1	47.7211595523	46.0	84.3776357864	330870851.0	9.09090909091
SY5Y_1_S35_R2_001_val_2	47.9256915685	46.0	84.3433205786	330870851.0	9.09090909091
SY5Y_2_S36_R1_001_val_1	50.6566440169	47.0	85.5167709738	253224979.0	18.1818181818
SY5Y_2_S36_R2_001_val_2	49.9690577529	47.0	85.473780294	253224979.0	9.09090909091
