Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
AS10_S28_R1_001	66.7826186692	48.0	101.0	51409907.0	9.09090909091
AS10_S28_R2_001	68.0743442128	49.0	101.0	51409907.0	9.09090909091
AS1_S19_R1_001	61.5545264803	50.0	101.0	43808923.0	9.09090909091
AS1_S19_R2_001	61.917219305	50.0	101.0	43808923.0	9.09090909091
AS2_S20_R1_001	64.8954430994	48.0	101.0	30482349.0	9.09090909091
AS2_S20_R2_001	65.9765177039	49.0	101.0	30482349.0	9.09090909091
AS3_S21_R1_001	57.8184117323	50.0	101.0	22498888.0	9.09090909091
AS3_S21_R2_001	58.875415154	51.0	101.0	22498888.0	9.09090909091
AS4_S22_R1_001	60.0691928613	48.0	101.0	16816450.0	9.09090909091
AS4_S22_R2_001	61.227445351	49.0	101.0	16816450.0	9.09090909091
AS5_S23_R1_001	58.3403557627	52.0	101.0	38254966.0	9.09090909091
AS5_S23_R2_001	58.6715136152	52.0	101.0	38254966.0	9.09090909091
AS6_S24_R1_001	62.845673765	48.0	101.0	26084604.0	9.09090909091
AS6_S24_R2_001	64.44818992	48.0	101.0	26084604.0	9.09090909091
AS7_S25_R1_001	58.5573142495	49.0	101.0	26029501.0	9.09090909091
AS7_S25_R2_001	58.8291784863	49.0	101.0	26029501.0	9.09090909091
AS8_S26_R1_001	69.3012919677	48.0	101.0	38665078.0	9.09090909091
AS8_S26_R2_001	70.0227938909	49.0	101.0	38665078.0	9.09090909091
AS9_S27_R1_001	66.8911570002	48.0	101.0	50068457.0	9.09090909091
AS9_S27_R2_001	68.0390839919	48.0	101.0	50068457.0	9.09090909091
