Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),growth_media,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR10215662,ATAC-seq,200,16749219000,PRJNA575353,SAMN12886821,12026203026,COG-N-415,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6935342,GSM4104571,"IMDM, 20% FBS, 2mM L-glutamine, 1:1000 ITS Premix Supplement",Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:58:00Z,1,GSM4104571,neuroblastoma-derived cell line,SRP223941
SRR10215663,ATAC-seq,200,13906746400,PRJNA575353,SAMN12886820,9751069634,COG-N-415,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6935343,GSM4104572,"IMDM, 20% FBS, 2mM L-glutamine, 1:1000 ITS Premix Supplement",Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:49:00Z,1,GSM4104572,neuroblastoma-derived cell line,SRP223941
SRR10215664,ATAC-seq,200,7757140200,PRJNA575353,SAMN12886819,5192020340,COG-N-440,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6935344,GSM4104573,"IMDM, 20% FBS, 2mM L-glutamine, 1:1000 ITS Premix Supplement",Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:28:00Z,1,GSM4104573,neuroblastoma-derived cell line,SRP223941
SRR10215665,ATAC-seq,200,12122222200,PRJNA575353,SAMN12886818,7944097146,COG-N-440,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6935345,GSM4104574,"IMDM, 20% FBS, 2mM L-glutamine, 1:1000 ITS Premix Supplement",Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:41:00Z,1,GSM4104574,neuroblastoma-derived cell line,SRP223941
SRR10215666,ATAC-seq,200,13681232000,PRJNA575353,SAMN12886817,9037856682,COG-N-453,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6935346,GSM4104575,"IMDM, 20% FBS, 2mM L-glutamine, 1:1000 ITS Premix Supplement",Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:37:00Z,1,GSM4104575,neuroblastoma-derived cell line,SRP223941
SRR10215667,ATAC-seq,200,8640088600,PRJNA575353,SAMN12886816,6206769698,COG-N-453,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6935347,GSM4104576,"IMDM, 20% FBS, 2mM L-glutamine, 1:1000 ITS Premix Supplement",Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:29:00Z,1,GSM4104576,neuroblastoma-derived cell line,SRP223941
SRR10215668,ATAC-seq,200,13008181800,PRJNA575353,SAMN12886815,9333669346,KELLY,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6935348,GSM4104577,"IMDM, 20% FBS, 1% Penicillin/Streptomycin, 2mM L-glutamine",Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:38:00Z,1,GSM4104577,neuroblastoma-derived cell line,SRP223941
SRR10215669,ATAC-seq,200,6771115600,PRJNA575353,SAMN12886814,4515860756,KELLY,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6935349,GSM4104578,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:28:00Z,1,GSM4104578,neuroblastoma-derived cell line,SRP223941
SRR10215670,ATAC-seq,200,13656619800,PRJNA575353,SAMN12886813,9108982332,LA-N-5,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6935350,GSM4104579,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:36:00Z,1,GSM4104579,neuroblastoma-derived cell line,SRP223941
SRR10215671,ATAC-seq,200,9691200000,PRJNA575353,SAMN12886812,6261788302,LA-N-5,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6935351,GSM4104580,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:31:00Z,1,GSM4104580,neuroblastoma-derived cell line,SRP223941
SRR10215672,ATAC-seq,200,9027481600,PRJNA575353,SAMN12886811,5888397598,NB-1,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6935352,GSM4104581,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:30:00Z,1,GSM4104581,neuroblastoma-derived cell line,SRP223941
